T=2.30000e+00  B=0.00000e+00  ns=16384  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
-1.33911e+00  -3.68896e-01
-1.34814e+00  -3.53027e-01
-1.33179e+00  -3.08960e-01
-1.33521e+00  -2.79541e-01
-1.35156e+00  -3.05420e-01
-1.37524e+00  -3.01270e-01
-1.37793e+00  -3.00537e-01
-1.35229e+00  -2.61230e-01
-1.34863e+00  -3.70483e-01
-1.34888e+00  -3.41919e-01
-1.33569e+00  -2.81860e-01
-1.32544e+00  -1.68945e-01
-1.32275e+00  -1.29028e-01
-1.29468e+00  -8.49609e-02
-1.31519e+00  -7.29980e-02
-1.32227e+00  -8.52051e-02
-1.33447e+00  -9.81445e-02
-1.32568e+00  -6.64062e-02
-1.32056e+00  -1.08765e-01
-1.33862e+00  -1.08765e-01
-1.38257e+00  -1.14868e-01
-1.33643e+00  -1.05835e-01
-1.35229e+00  -1.42212e-01
-1.27881e+00  -1.57227e-01
-1.33911e+00  -1.81519e-01
-1.31226e+00  -2.37671e-01
-1.35156e+00  -2.22778e-01
-1.31006e+00  -2.13745e-01
-1.28516e+00  -2.00073e-01
-1.33228e+00  -1.90796e-01
